section,percentile,logit_diff_1m0,p1_from_logit
LC,64,4.675000000000004,0.9907606367762712
LC,65,5.46875,0.9958012047285281
LC,66,5.762500000000003,0.9968666053643469
LC,67,6.306250000000006,0.998178460398532
LC,68,6.850000000000001,0.9989416655655341
LC,69,7.0,0.9990889488055994
LC,70,7.375,0.9993736658418905
LC,71,7.5,0.9994472213630764
LC,72,7.875,0.999620015485248
LC,73,8.125,0.999704042886487
LC,74,8.487499999999997,0.9997940147526336
LC,75,8.65625,0.9998259945644729
LC,76,8.875,0.9998601779243528
LC,77,9.118749999999999,0.9998904204277691
LC,78,9.25,0.9999038975845005
LC,79,9.456250000000004,0.9999218068254531
LC,80,9.5,0.9999251537724895
LC,81,9.668750000000003,0.999936775155624
LC,82,9.75,0.9999417087343389
LC,83,9.875,0.9999485577862579
LC,84,10.0,0.9999546021312976
LC,85,10.125,0.9999599363077709
LC,86,10.25,0.9999646437492582
LC,87,10.25,0.9999646437492582
